IMAGE_NAME,TFS,LOSS,M_LOSS,LOSS_NOT_AUG_BEF,LOSS_NOT_AUG_AFTER
"('leucoplasias/59.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'Equalize'-'Posterize'-'OpticalDistortion'-'RandomGamma'-'GaussNoise'"",)",0.22634060680866241,0.3245987523685802,0.33402612805366516,0.2317894697189331
"('leucoplasias/55.png',)","(""'RandomRotate90'-'Solarize'-'ISONoise'-'Posterize'-'GridDistortion'-'RandomContrast'-'RandomBrightness'-'RandomGamma'-'GaussianBlur'"",)",0.19766302406787872,0.32233204293463913,0.3787572383880615,0.3902866542339325
"('leucoplasias/28.png',)","(""'HorizontalFlip'-'Solarize'-'ISONoise'-'GridDistortion'-'RandomGamma'-'GaussNoise'-'GaussianBlur'"",)",0.16050660610198975,0.3194930001831891,0.5817898511886597,0.5094521045684814
"('carcinomas/45.png',)","(""'Transpose'-'ISONoise'-'Equalize'-'GridDistortion'-'RandomContrast'-'RandomGamma'-'GaussNoise'"",)",0.10986906290054321,0.3158787943679711,0.6022555232048035,0.697356104850769
"('leucoplasias/26.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Equalize'-'OpticalDistortion'-'RandomBrightness'-'RandomGamma'-'RandomResizedCrop'"",)",0.5718627572059631,0.32021750560251333,1.397455096244812,1.4134712219238281
"('leucoplasias/13.png',)","(""'VerticalFlip'-'RandomRotate90'-'Transpose'-'ISONoise'-'Equalize'-'OpticalDistortion'-'RandomResizedCrop'"",)",0.12990745902061462,0.31704567149281504,0.4608602225780487,0.40837928652763367
"('leucoplasias/36.png',)","(""'HorizontalFlip'-'RandomRotate90'-'Transpose'-'Solarize'-'Posterize'-'ElasticTransform'-'RandomContrast'-'GaussianBlur'"",)",0.11679191887378693,0.3137628230892244,0.2518112361431122,0.22896307706832886
"('leucoplasias/8.png',)","(""'Transpose'-'ISONoise'-'Equalize'-'Posterize'-'ElasticTransform'-'RandomContrast'-'RandomBrightness'-'GaussNoise'-'GaussianBlur'"",)",0.10477197915315628,0.31039200302573944,0.09718464314937592,0.09081663191318512
"('leucoplasias/17.png',)","(""'HorizontalFlip'-'VerticalFlip'-'RandomRotate90'-'Solarize'-'Equalize'-'OpticalDistortion'-'RandomBrightness'-'RandomGamma'-'RandomResizedCrop'"",)",0.39689546823501587,0.31176507390207714,0.27314695715904236,0.28813427686691284
"('carcinomas/75.png',)","(""'HorizontalFlip'-'VerticalFlip'-'RandomRotate90'-'Equalize'-'RandomContrast'-'RandomBrightness'-'GaussianBlur'-'RandomResizedCrop'"",)",0.15744107961654663,0.30935376149136573,0.5797837376594543,0.5853181481361389
"('leucoplasias/41.png',)","(""'VerticalFlip'-'Solarize'-'Posterize'-'ElasticTransform'-'GaussianBlur'"",)",0.12011019885540009,0.30644232206619704,0.31366655230522156,0.26360514760017395
